Wavelength,Intensity
380.0,1
380.437531,1
380.875125,1
381.312781,1
381.7505,2
382.188281,2
382.626125,2
383.064031,2
383.502,2
383.940031,2
384.378125,1
384.816281,1
385.2545,2
385.692781,2
386.131125,1
386.569531,1
387.008,2
387.446531,2
387.885125,2
388.323781,2
388.7625,1
389.201281,1
389.640125,1
390.079031,1
390.518,1
390.957031,1
391.396125,1
391.835281,1
392.2745,2
392.713781,2
393.153125,2
393.592531,2
394.032,2
394.471531,2
394.911125,1
395.350781,1
395.7905,1
396.230281,1
396.670125,1
397.110031,2
397.55,2
397.990031,2
398.430125,2
398.870281,2
399.3105,1
399.750781,1
400.191125,1
400.631531,1
401.072,1
401.512531,1
401.953125,1
402.393781,1
402.8345,1
403.275281,1
403.716125,1
404.157031,1
404.598,1
405.039031,2
405.480125,2
405.921281,2
406.3625,2
406.803781,2
407.245125,3
407.686531,2
408.128,2
408.569531,2
409.011125,2
409.452781,1
409.8945,1
410.336281,1
410.778125,1
411.220031,1
411.662,1
412.104031,2
412.546125,2
412.988281,2
413.4305,2
413.872781,2
414.315125,2
414.757531,2
415.2,2
415.642531,1
416.085125,2
416.527781,2
416.9705,2
417.413281,2
417.856125,2
418.299031,2
418.742,2
419.185031,2
419.628125,2
420.071281,2
420.5145,2
420.957781,2
421.401125,2
421.844531,2
422.288,2
422.731531,2
423.175125,2
423.618781,2
424.0625,2
424.506281,2
424.950125,2
425.394031,2
425.838,2
426.282031,1
426.726125,1
427.170281,1
427.6145,1
428.058781,1
428.503125,1
428.947531,2
429.392,1
429.836531,2
430.281125,1
430.725781,1
431.1705,1
431.615281,1
432.060125,1
432.505031,1
432.95,1
433.395031,2
433.840125,2
434.285281,2
434.7305,2
435.175781,2
435.621125,1
436.066531,1
436.512,2
436.957531,2
437.403125,2
437.848781,2
438.2945,1
438.740281,1
439.186125,1
439.632031,1
440.078,1
440.524031,2
440.970125,2
441.416281,1
441.8625,1
442.308781,1
442.755125,2
443.201531,2
443.648,2
444.094531,2
444.541125,3
444.987781,3
445.4345,2
445.881281,2
446.328125,3
446.775031,2
447.222,2
447.669031,1
448.116125,1
448.563281,1
449.0105,1
449.457781,2
449.905125,2
450.352531,1
450.8,1
451.247531,1
451.695125,1
452.142781,1
452.5905,1
453.038281,1
453.486125,1
453.934031,1
454.382,1
454.830031,1
455.278125,1
455.726281,2
456.1745,2
456.622781,2
457.071125,1
457.519531,1
457.968,1
458.416531,1
458.865125,1
459.313781,1
459.7625,2
460.211281,2
460.660125,2
461.109031,2
461.558,2
462.007031,2
462.456125,2
462.905281,2
463.3545,1
463.803781,1
464.253125,1
464.702531,1
465.152,1
465.601531,2
466.051125,2
466.500781,1
466.9505,1
467.400281,1
467.850125,2
468.300031,2
468.75,2
469.200031,2
469.650125,2
470.100281,1
470.5505,1
471.000781,1
471.451125,1
471.901531,1
472.352,1
472.802531,1
473.253125,1
473.703781,1
474.1545,1
474.605281,1
475.056125,2
475.507031,2
475.958,2
476.409031,2
476.860125,2
477.311281,2
477.7625,1
478.213781,1
478.665125,1
479.116531,1
479.568,2
480.019531,2
480.471125,2
480.922781,1
481.3745,1
481.826281,1
